producer,consumer,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM
run_idfeature,stage_out-run_idfeature,ssd,12,tmpfs-tmpfs,5,87.33475098295709
run_idfeature,stage_out-run_idfeature,beegfs,6,ssd-ssd,15,87.47552219883757
run_idfeature,stage_out-run_idfeature,beegfs,6,tmpfs-tmpfs,5,87.53332155345656
run_idfeature,stage_out-run_idfeature,beegfs,3,ssd-ssd,30,88.74827938658385
run_idfeature,stage_out-run_idfeature,ssd,12,ssd-ssd,30,88.78478807321382
run_idfeature,stage_out-run_idfeature,beegfs,6,ssd-ssd,30,88.98335864371329
run_idfeature,stage_out-run_idfeature,beegfs,12,ssd-ssd,8,89.5527120074266
run_idfeature,stage_out-run_idfeature,beegfs,12,tmpfs-tmpfs,2,89.64493595753775
run_idfeature,stage_out-run_idfeature,beegfs,12,ssd-ssd,2,89.9757235428773
run_idfeature,stage_out-run_idfeature,beegfs,12,tmpfs-tmpfs,8,90.20489647853218
run_idfeature,stage_out-run_idfeature,beegfs,12,tmpfs-tmpfs,3,90.27855014389546
run_idfeature,stage_out-run_idfeature,beegfs,3,tmpfs-tmpfs,30,90.63235703052321
run_idfeature,stage_out-run_idfeature,ssd,12,tmpfs-tmpfs,30,90.66886571715318
run_idfeature,stage_out-run_idfeature,beegfs,6,tmpfs-tmpfs,30,90.86743628765265
run_idfeature,stage_out-run_idfeature,beegfs,12,tmpfs-tmpfs,15,90.94507101824722
run_idfeature,stage_out-run_idfeature,beegfs,12,ssd-ssd,3,91.17902515411124
run_idfeature,stage_out-run_idfeature,beegfs,12,ssd-ssd,5,91.33150805042504
run_idfeature,stage_out-run_idfeature,beegfs,12,ssd-ssd,15,91.62660881986214
run_idfeature,stage_out-run_idfeature,beegfs,12,tmpfs-tmpfs,5,91.68440817448113
run_idfeature,stage_out-run_idfeature,beegfs,12,ssd-ssd,30,93.13444526473786
run_idfeature,stage_out-run_idfeature,beegfs,12,tmpfs-tmpfs,30,95.01852290867723
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-tmpfs,5,254.3583259504276
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-tmpfs,5,254.5371144093105
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-tmpfs,5,254.62327709284367
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-tmpfs,5,256.38429593523483
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-tmpfs,5,257.02094470603646
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-tmpfs,5,261.2896776985744
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-tmpfs,5,261.3261863852044
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-tmpfs,5,261.5247569557039
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-tmpfs,5,265.6758435767284
run_tracksingle,stage_out-run_tracksingle,tmpfs,3,beegfs-ssd,4,0.41467274806438986
run_tracksingle,stage_out-run_tracksingle,tmpfs,6,beegfs-ssd,4,0.4171276687622283
run_tracksingle,stage_out-run_tracksingle,tmpfs,12,beegfs-ssd,4,0.4212305250020389
run_tracksingle,stage_out-run_tracksingle,tmpfs,3,beegfs-ssd,2,0.43027556321298394
run_tracksingle,stage_out-run_tracksingle,tmpfs,6,beegfs-ssd,2,0.43273048391082236
run_tracksingle,stage_out-run_tracksingle,tmpfs,12,beegfs-ssd,2,0.43683334015063296
run_tracksingle,stage_out-run_tracksingle,tmpfs,3,beegfs-tmpfs,2,0.45810394240857083
run_tracksingle,stage_out-run_tracksingle,tmpfs,6,beegfs-tmpfs,2,0.46055886310640926
run_tracksingle,stage_out-run_tracksingle,tmpfs,3,beegfs-ssd,1,0.46391642371486796
run_tracksingle,stage_out-run_tracksingle,tmpfs,12,beegfs-tmpfs,2,0.46466171934621986
run_tracksingle,stage_out-run_tracksingle,tmpfs,6,beegfs-ssd,1,0.4663713444127064
run_tracksingle,stage_out-run_tracksingle,tmpfs,12,beegfs-ssd,1,0.470474200652517
run_tracksingle,stage_out-run_tracksingle,tmpfs,3,beegfs-tmpfs,1,0.5158515245165787
run_tracksingle,stage_out-run_tracksingle,tmpfs,6,beegfs-tmpfs,1,0.518306445214417
run_tracksingle,stage_out-run_tracksingle,tmpfs,12,beegfs-tmpfs,1,0.5224093014542277
run_tracksingle,stage_out-run_tracksingle,beegfs,3,beegfs-ssd,4,0.5687842045176272
run_tracksingle,stage_out-run_tracksingle,beegfs,3,beegfs-ssd,2,0.5843870196662213
run_tracksingle,stage_out-run_tracksingle,beegfs,6,beegfs-ssd,4,0.5863960958999862
run_tracksingle,stage_out-run_tracksingle,beegfs,6,beegfs-ssd,2,0.6019989110485803
run_tracksingle,stage_out-run_tracksingle,beegfs,3,beegfs-tmpfs,2,0.6122153988618082
run_tracksingle,stage_out-run_tracksingle,beegfs,3,beegfs-ssd,1,0.6180278801681053
run_tracksingle,stage_out-run_tracksingle,beegfs,6,beegfs-tmpfs,2,0.6298272902441672
run_tracksingle,stage_out-run_tracksingle,beegfs,6,beegfs-ssd,1,0.6356397715504644
run_tracksingle,stage_out-run_tracksingle,beegfs,3,beegfs-tmpfs,1,0.669962980969816
run_tracksingle,stage_out-run_tracksingle,beegfs,6,beegfs-tmpfs,1,0.6875748723521751
run_tracksingle,stage_out-run_tracksingle,beegfs,12,beegfs-ssd,4,0.7217708766459986
run_tracksingle,stage_out-run_tracksingle,ssd,3,beegfs-ssd,4,0.725716690925349
run_tracksingle,stage_out-run_tracksingle,beegfs,12,beegfs-ssd,2,0.7373736917945927
run_tracksingle,stage_out-run_tracksingle,ssd,3,beegfs-ssd,2,0.741319506073943
run_tracksingle,stage_out-run_tracksingle,beegfs,12,beegfs-tmpfs,2,0.7652020709901796
run_tracksingle,stage_out-run_tracksingle,ssd,3,beegfs-tmpfs,2,0.7691478852695299
run_tracksingle,stage_out-run_tracksingle,beegfs,12,beegfs-ssd,1,0.7710145522964766
run_tracksingle,stage_out-run_tracksingle,ssd,3,beegfs-ssd,1,0.7749603665758271
run_tracksingle,stage_out-run_tracksingle,ssd,6,beegfs-ssd,4,0.8111659369358976
run_tracksingle,stage_out-run_tracksingle,beegfs,12,beegfs-tmpfs,1,0.8229496530981875
run_tracksingle,stage_out-run_tracksingle,ssd,6,beegfs-ssd,2,0.8267687520844916
run_tracksingle,stage_out-run_tracksingle,ssd,3,beegfs-tmpfs,1,0.8268954673775378
run_tracksingle,stage_out-run_tracksingle,ssd,6,beegfs-tmpfs,2,0.8545971312800785
run_tracksingle,stage_out-run_tracksingle,ssd,6,beegfs-ssd,1,0.8604096125863756
run_tracksingle,stage_out-run_tracksingle,ssd,6,beegfs-tmpfs,1,0.9123447133880864
run_tracksingle,stage_out-run_tracksingle,ssd,12,beegfs-ssd,4,1.263269379903266
run_tracksingle,stage_out-run_tracksingle,ssd,12,beegfs-ssd,2,1.2788721950518602
