operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160803_091500.nc,1,initial_data
write,1,5498.14075148408,155.4573793411255,96,96,0.495124058,[8],8,12,313.9766222814515,pfs,29648,run_idfeature,3679-dc155,cloudid_20160803_151500.nc,1,
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160803_181500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160803_231500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160804_041500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160804_071500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160804_151500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160804_161500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,IMERG_landmask_180W-180E_60S-60N.nc,1,initial_data
write,1,5498.14075148408,155.4573793411255,96,96,0.495124058,[8],8,12,313.9766222814515,pfs,29648,run_idfeature,3679-dc155,mcstrack_20160801_081500.nc,1,final_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,mcstrack_20160802_081500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,mcstrack_20160802_091500.nc,1,initial_data
write,1,5498.14075148408,155.4573793411255,96,96,0.495124058,[8],8,12,313.9766222814515,pfs,29648,run_idfeature,3679-dc155,mcstrack_20160802_111500.nc,1,final_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,mcstrack_20160803_071500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,mcstrack_20160803_081500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,pr_rlut_mean_sam_2016080214.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,pr_rlut_mean_sam_2016080315.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,tracknumbers_20160801.0000_20160804.2300.nc,1,initial_data
write,1,5498.14075148408,155.4573793411255,96,96,0.495124058,[8],8,12,313.9766222814515,pfs,29648,run_idfeature,3679-dc155,track_20160802_221500.nc,1,
write,1,5498.14075148408,155.4573793411255,96,96,0.495124058,[8],8,12,313.9766222814515,pfs,29648,run_idfeature,3679-dc155,track_20160804_161500.nc,1,
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,cloudid_20160801_003000.nc,1,initial_data
write,1,5459.939017808959,154.3772430419922,96,96,0.537277266,[8],8,12,287.33254282527594,pfs,29648,run_idfeature,3680-dc155,cloudid_20160801_071500.nc,1,
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,cloudid_20160801_221500.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,cloudid_20160802_001500.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,cloudid_20160802_011500.nc,1,initial_data
write,1,5459.939017808959,154.3772430419922,96,96,0.537277266,[8],8,12,287.33254282527594,pfs,29648,run_idfeature,3680-dc155,cloudid_20160802_011500.nc,1,
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,cloudid_20160802_231500.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,cloudid_20160803_061500.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,cloudid_20160803_141500.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,cloudid_20160804_031500.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,cloudid_20160804_181500.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,cloudid_20160804_191500.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,IMERG_landmask_180W-180E_60S-60N.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,mcstrack_20160803_051500.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,mcstrack_20160803_061500.nc,1,initial_data
write,1,5459.939017808959,154.3772430419922,96,96,0.537277266,[8],8,12,287.33254282527594,pfs,29648,run_idfeature,3680-dc155,mcstrack_20160803_141500.nc,1,final_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,mcstrack_20160803_191500.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,mcstrack_20160803_201500.nc,1,initial_data
write,1,5459.939017808959,154.3772430419922,96,96,0.537277266,[8],8,12,287.33254282527594,pfs,29648,run_idfeature,3680-dc155,mcstrack_20160804_031500.nc,1,final_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,pr_rlut_mean_sam_2016080107.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,pr_rlut_mean_sam_2016080201.nc,1,initial_data
read,1,5344.277551277741,242.52138423919678,96,96,4.109151666,[8],8,12,59.01981818920694,pfs,47584,run_idfeature,3680-dc155,tracknumbers_20160801.0000_20160804.2300.nc,1,initial_data
write,1,5459.939017808959,154.3772430419922,96,96,0.537277266,[8],8,12,287.33254282527594,pfs,29648,run_idfeature,3680-dc155,track_20160802_011500.nc,1,
write,1,5459.939017808959,154.3772430419922,96,96,0.537277266,[8],8,12,287.33254282527594,pfs,29648,run_idfeature,3680-dc155,track_20160804_191500.nc,1,
read,1,4852.5706374881065,243.1894178390503,96,96,3.95597594,[8],8,12,61.47393753841948,pfs,52550,run_idfeature,3681-dc155,cloudid_20160801_041500.nc,1,initial_data
read,1,4852.5706374881065,243.1894178390503,96,96,3.95597594,[8],8,12,61.47393753841948,pfs,52550,run_idfeature,3681-dc155,cloudid_20160801_071500.nc,1,initial_data
